"","CWM T0 - PPO 2022 - Export 20241121 - R=60.csv"
"1","#"
"2","Even voorstellen? Wat is jouw voornaam?"
"3","En dan natuurlijk, wat is jouw achternaam?"
"4","Heb je een Kamer van Koophandel-nummer?"
"5","Wat is jouw KvK-nummer?"
"6","Wat is jouw professionele titel?"
"7","Met welke activiteit verdien je het grootste deel van je omzet?"
"8","Waarom heb je je aangemeld voor dit programma?"
"9","Hoeveel nadruk denk je dat er gaat worden gelegd op ""Business skills""?"
"10","Hoeveel nadruk denk je dat er gaat worden gelegd op ""Artistieke skills""?"
"11","En hoeveel nadruk denk je dat er gaat worden gelegd op ""Psychologische skills""?"
"12","Is er naast Business, Artistieke en Psychologische skills nog een soort skills die niet genoemd is en die je wel erg belangrijk vindt?"
"13","Welke soort skills mis je nog in de voorgaande vragen en wil je wel op focussen in de training die je gaat doen?"
"14","Hoeveel nadruk denk je dat er gaat worden gelegd op {{field:81db4bc4-62bf-4021-b511-b9f01866065f}}? in de training die je gaat volgen?"
"15","Aan welke onderdelen denk jij het meest te hebben om jouw doelen te bereiken?"
"16","Kun je toelichten waarom je {{field:a3329bb5-67ab-418c-a388-237285d8ecda}} hebt gekozen?"
"17","Wat is je maandelijkse omzet?"
"18","Welk deel van je omzet verdien je met je creatieve activiteiten?"
"19","In de komende 12 maanden wil ik praktische experimenten doen om oplossingen te bedenken voor mijn klanten en opdrachtgevers..."
"20","In de komende 12 maanden ben ik van plan om een prototype te ontwikkelen voor een product of dienst..."
"21","In de komende 12 maanden ben ik van plan om een waardepropositie te ontwikkelen..."
"22","In de komende 12 maanden ben ik van plan om mijn waardepropositie te testen in de markt..."
"23","In de komende 12 maanden ben ik van plan om te stoppen met mijn (bij)baan of veel minder tijd aan mijn (bij)baan te spenderen, zodat ik me kan focussen op mijn onderneming..."
"24","In de komende 12 maanden ben ik van plan om mijn eigen geld in mijn onderneming te investeren..."
"25","In de komende 12 maanden ben ik van plan om een (extra) zakelijke bankrekening te openen...\*"
"26","In de komende 12 maanden ben ik van plan om dure apparatuur aan te schaffen voor mijn onderneming...\*"
"27","In de komende 12 maanden ben ik van plan om te zoeken naar financiering voor mijn plannen....\*"
"28","Ik herken altijd kansen"
"29","Ik ben creatief"
"30","Ik kan goed problemen oplossen"
"31","Ik ben een goede leider"
"32","Het is makkelijk om met anderen te communiceren"
"33","Ik heb altijd nieuwe ideeën"
"34","Ik maak makkelijk contact"
"35","Ik heb zelfvertrouwen"
"36","Ik heb analytisch vermogen"
"37","Ik ben optimistisch"
"38","Ik hou van authenticiteit (bij jezelf blijven)"
"39","Ik ben doelgericht"
"40","Ik ben daadkrachtig"
"41","Ik ben nieuwsgierig"
"42","Ik heb discipline"
"43","Ik heb sociaal adaptatievermogen"
"44","Ik ben communicatief"
"45","Ik ben efficiënt"
"46","Ik heb verantwoordelijkheidsgevoel"
"47","Ik heb doorzettingsvermogen"
"48","Ik heb zelfkennis"
"49","Ik heb empatisch vermogen"
"50","Ik ben goed in leiderschap"
"51","Ik ben stressbestendig"
"52","Ik doe altijd goed mijn best, ook wanneer het moeilijk is"
"53","Ik stop veel energie in het verbeteren van mijn (werk)resultaten"
"54","Ik probeer altijd extra verantwoordelijkheden te nemen"
"55","Ik probeer betere resultaten te halen dan mijn vakgenoten"
"56","Als ik plannen maak weet ik zeker dat ze werken"
"57","Als ik iets goed doe, komt dat door mijn vaardigheden en niet door geluk"
"58","Wat mij overkomt komt door mijn eigen gedrag"
"59","Veel ongelukkige gebeurtenissen in het leven van een persoon komen door pech."
"60","Een goede (creatieve) business hebben komt voornamelijk door op het juiste moment op de juiste plek te zijn"
"61","Soms heb ik het idee dat ik niet genoeg controle heb over mijn leven"
"62","Niets is interessanter dan leven onder steeds veranderende omstandigheden"
"63","Innovatieve mensen en mensen die risico's nemen bereiken meer in het leven dan geordende mensen"
"64","Als je echt wilt genieten van je vakantie, moet je deze goed plannen"
"65","Hetzelfde doen op dezelfde plek voor een lange periode leidt tot een gelukkig leven"
"66","Response Type"
"67","Start Date (UTC)"
"68","Stage Date (UTC)"
"69","Submit Date (UTC)"
"70","Network ID"
"71","Tags"
